Date,Open,High,Low,Close,Adj Close,Volume
10/10/12,91.391426,92.139999,91,91.558571,82.724876,127589000
10/11/12,92.35714,92.457146,89.728569,89.728569,81.071426,136520300
10/12/12,89.937141,90.76857,89.328575,89.958572,81.279243,115003700
10/15/12,90.335716,90.732857,89.121429,90.68,81.931084,108125500
10/16/12,90.767143,92.900002,90.14286,92.827141,83.871056,137442900
10/17/12,92.695717,93.255714,92,92.087143,83.202446,97259400
10/18/12,91.370003,91.722855,90,90.377144,81.657455,119156100
10/19/12,90.150002,90.252853,87.08857,87.120003,78.714554,186021500
10/22/12,87.488571,90.76857,87.251427,90.575714,81.836838,136682700
10/23/12,90.14286,90.557144,87.385712,87.622856,79.168869,176786400
10/24/12,88.777145,89.507141,87.234283,88.118568,79.616783,139631800
10/25/12,88.571426,88.85714,86.507141,87.077141,78.675812,164081400
10/26/12,87.061432,87.714287,84.428574,86.285713,77.960747,254608200
10/31/12,84.982857,85.994286,83.957146,85.045715,76.840401,127500800
11/1/12,85.459999,86.14286,84.881432,85.220001,76.997864,90324500
11/2/12,85.127144,85.278572,82.10714,82.400002,74.449928,149843400
11/5/12,83.360001,83.96714,82.514282,83.517143,75.45929,132283900
11/6/12,84.318573,84.391426,82.870003,83.264282,75.230835,93729300
11/7/12,81.977142,82.077141,79.39286,79.714287,72.35231,198412200
11/8/12,80.089996,80.318573,76.470001,76.821426,69.726601,264036500
11/9/12,77.202858,79.26857,76.245712,78.151428,70.933784,232478400
11/12/12,79.164284,79.214287,76.949997,77.547142,70.385323,128950500
11/13/12,76.987144,78.639999,76.622856,77.557144,70.394394,133237300
11/14/12,77.928574,78.207146,76.597145,76.697144,69.613815,119292600
11/15/12,76.790001,77.071426,74.660004,75.08857,68.153778,197477700
11/16/12,75.028572,75.714287,72.25,75.382858,68.420891,316723400
11/19/12,77.244286,81.071426,77.125717,80.818573,73.354591,205829400
11/20/12,81.701431,81.707146,79.225716,80.129997,72.729614,160688500
11/21/12,80.60714,81.052856,79.514282,80.242859,72.832069,93250500
11/23/12,81.024284,81.714287,80.371429,81.64286,74.10276,68206600
11/26/12,82.271431,84.285713,81.958572,84.218575,76.440598,157644900
11/27/12,84.221428,84.345711,82.871429,83.540001,75.824707,133332500
11/28/12,82.46714,83.685715,81.751427,83.277145,75.586121,130216100
11/29/12,84.317146,84.89286,83.60714,84.194283,76.418556,128674700
11/30/12,83.827141,84.057144,83.239998,83.611427,75.889534,97829900
12/3/12,84.807144,84.941429,83.64286,83.741432,76.007523,91070000
12/4/12,83.114288,83.114288,81.732857,82.264282,74.666801,139267100
12/5/12,81.272858,81.321426,76.96714,76.970001,69.861458,261159500
12/6/12,75.562859,79.044289,74.089996,78.177139,70.957123,294303100
12/7/12,79.057144,79.314285,75.714287,76.178574,69.143127,196760200
